label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location
N,-0.3068,0.1946,0.7015,3,-0.3594,-0.1087,1,0,0,1
C,-0.3074,0.7846,-0.1944,1,-0.3033,-0.3506,1,1,0,1
C,-0.3096,-0.2079,0.1522,1,-0.3033,-0.3506,1,1,0,0
C,-0.3081,-0.2560,0.2897,0,-0.3033,-0.1087,1,1,0,1
S,-0.3101,0.3050,-0.3102,1,-0.1351,-0.3506,1,0,0,0
C,-0.3089,-0.1218,-0.2990,1,-0.3781,-0.3506,1,1,0,1
S,-0.3086,-0.1968,0.6950,2,2.6493,-0.3506,1,0,0,1
C,-0.2673,6.2874,-0.7741,0,-0.1912,0.6172,1,1,0,1
S,-0.3081,-0.2560,0.2897,0,-0.3407,-0.1087,1,0,0,1
C,-0.3101,-0.2851,-1.0142,0,-0.3594,-0.1087,3,1,0,1
S,-0.3104,-0.3780,-0.9978,3,0.1452,-0.3506,1,0,0,1
S,-0.3105,-0.4536,-0.3550,1,-0.3781,-0.3506,1,1,0,1
S,-0.3051,1.4191,-0.4306,3,0.1452,-0.3506,1,0,0,0
S,-0.3104,-0.2164,0.7799,1,-0.3033,-0.3506,1,0,0,0
S,-0.3046,-0.1694,-0.7662,3,0.1452,-0.3506,1,0,0,1
S,-0.3104,-0.2164,0.7799,1,-0.1912,-0.3506,1,0,0,0
S,-0.2865,-0.3558,-0.0520,3,0.1452,-0.3506,1,0,0,0
S,-0.3097,-0.2174,-0.9993,1,-0.2846,-0.3506,1,0,0,1
S,-0.3097,-0.2174,-0.9993,1,-0.2286,-0.3506,1,0,0,1
C,-0.3077,0.4835,-0.4067,0,-0.3594,-0.3506,1,1,0,1
S,-0.3091,0.5321,-0.8312,3,-0.3220,-0.3506,1,0,0,1
S,-0.3101,-0.5608,0.1680,1,-0.3781,-0.1087,1,0,0,1
S,-0.3045,0.6003,-0.7072,3,0.1452,-0.3506,1,0,0,1
N,-0.3039,0.0477,-0.7045,1,-0.3781,-0.1087,1,0,0,0
C,-0.3077,0.4835,-0.4067,0,-0.3781,-0.3506,1,0,0,1
S,-0.3044,0.3636,-0.3827,3,-0.3220,-0.3506,1,0,0,1
S,-0.3074,0.8871,0.2008,1,-0.2286,-0.3506,1,0,0,1
S,1.9406,-0.2697,3.0049,0,-0.2846,0.6172,1,0,1,1
S,1.9406,-0.2697,3.0049,0,-0.3033,0.8592,1,0,1,1
C,-0.3073,-0.5413,-0.4728,3,0.3881,-0.3506,1,1,0,1
S,-0.3085,0.5020,-0.5399,2,-0.3220,0.1333,1,0,0,1
S,1.9406,-0.2697,3.0049,0,-0.2286,0.8592,1,0,1,1
S,-0.3078,-0.0986,1.9812,1,1.1917,-0.3506,1,0,0,0
S,-0.2985,-0.4858,-1.0725,2,-0.3407,-0.3506,1,1,0,1
S,-0.3101,-0.5608,0.1680,0,-0.3781,-0.3506,2,0,0,1
N,-0.3080,-0.4034,-0.3686,1,-0.3594,-0.3506,1,1,0,0
S,-0.2978,0.6753,1.1612,1,0.4629,-0.3506,1,0,0,1
N,-0.3025,1.5480,0.0555,1,-0.0604,-0.3506,1,0,0,0
S,-0.2989,-0.3828,0.3456,0,0.1265,3.0370,1,1,0,1
S,0.5463,-0.5587,-0.1815,0,-0.3220,-0.1087,2,0,1,1
S,-0.2882,6.0006,0.2553,2,-0.3407,-0.1087,1,1,0,1
S,-0.3095,-0.4964,0.1643,1,-0.2099,-0.3506,1,0,0,1
S,-0.2810,-0.2866,1.2427,1,-0.2099,-0.3506,1,0,0,1
S,-0.3061,-0.4673,0.2610,1,-0.2099,-0.3506,1,0,0,1
S,-0.3015,-0.5201,-0.4075,1,-0.2099,-0.3506,1,0,1,1
S,-0.2954,-0.4367,-0.0388,0,-0.2099,-0.1087,1,0,0,1
S,-0.2902,-0.5317,-0.9413,1,5.9383,-0.3506,1,0,0,1
N,-0.3097,0.4159,-0.9634,0,-0.3220,-0.1087,1,0,0,1
S,-0.3002,-0.3257,0.0849,1,-0.2286,-0.3506,1,0,0,0
C,-0.2563,-0.4583,-0.5595,0,-0.3781,-0.3506,3,0,0,1
N,-0.3097,0.4159,-0.9634,0,-0.3407,-0.1087,1,0,0,1
N,-0.3097,0.4159,-0.9634,0,-0.3594,0.1333,1,0,0,1
S,-0.2126,-0.5043,1.5857,0,-0.3594,-0.3506,2,0,1,1
C,-0.2954,-0.4367,-0.0388,0,-0.3594,-0.3506,1,1,0,1
C,-0.2756,-0.5154,2.0694,0,-0.2660,0.3753,1,1,0,1
C,-0.3096,-0.4118,-0.0703,1,-0.2660,-0.3506,1,1,0,0
